episode,algo,reward
185,Fixed,1479.8051484057264
186,Fixed,1481.6074749892573
187,Fixed,1484.6021774688074
188,Fixed,1481.6959941938258
189,Fixed,1476.09106642785
190,Fixed,1483.894119308523
191,Fixed,1474.82785357038
192,Fixed,1482.9460012068043
193,Fixed,1478.7996575822772
194,Fixed,1478.3321816466353
195,Fixed,1477.621989555418
196,Fixed,1469.6742876317894
197,Fixed,1474.5976296501915
198,Fixed,1482.691701702249
199,Fixed,1477.7336111867926
